species,lon,lat
1,121.105026,24.574005
1,120.98554,24.793297
1,121.195036,24.84048
1,121.299276,25.064075
1,133.675938,33.55399
1,130.583073,31.185354
1,117.821308,29.2339
1,114.284732,26.52486
1,140.502501,36.400887
1,121.051779,41.165709
1,-82.26299,35.183674
1,-84.697059,34.453657
1,127.634562,37.805669
1,79.559028,29.79028
1,130.710648,33.324982
1,107.885952,25.411189
1,-84.519163,34.65473
1,118.582305,30.672196
1,127.822172,36.534189
1,135.384609,33.958588
1,136.705421,34.486521
1,-83.113044,34.820887
1,119.727522,29.760387
1,138.950487,35.708922
1,139.130814,35.245808
1,126.99378,36.026805
1,-85.339906,35.005251
1,127.299445,35.977511
1,-84.648373,34.893162
1,127.114736,37.728461
1,134.053008,34.848494
1,-84.986546,34.465501
1,126.926168,35.494508
1,127.404448,35.756294
1,127.000452,35.184872
1,118.119085,29.242031
1,138.929353,34.659528
1,101.597069,22.020005
1,140.768207,40.82752
1,115.086769,28.882543
1,-84.320825,33.77672
1,-76.759129,39.202486
1,127.328595,35.000849
1,-82.021463,34.14686
1,128.486585,35.794046
1,-84.972488,33.947876
1,-85.065597,35.041542
1,-84.545028,34.316806
1,123.416568,41.846696
1,118.870522,32.063133
1,133.890548,35.41117
1,-83.436295,34.711947
1,135.676886,34.674647
1,129.318998,36.246702
1,140.030242,37.025425
1,-82.238339,34.227232
1,-83.732212,33.589304
1,121.564037,38.876334
1,128.972283,35.64745
1,-82.591392,35.081883
1,129.09932,37.271496
1,134.299906,34.480228
1,114.208237,39.439758
1,119.612,30.475
1,127.952438,37.355072
1,128.49387,37.060603
1,118.878096,33.747021
1,77.150436,31.044867
1,139.099446,34.906002
1,127.986341,36.844224
1,128.052704,34.769642
1,-82.622322,34.509362
1,127.223962,37.548645
1,138.139915,35.119355
1,117.337542,30.196035
1,-82.167245,33.551195
1,140.1205,35.116542
1,120.925234,24.395824
1,-82.28545,34.719695
1,131.994161,43.224456
1,113.049949,24.906908
1,134.397767,35.33648
1,-84.215347,34.595417
1,120.997468,29.214902
1,127.075089,34.943145
1,-83.16141,34.297643
1,126.744745,33.49588
1,137.855786,36.714667
1,116.171497,40.004987
1,137.235149,36.131645
1,-85.13556,35.394616
1,135.18805,35.593042
1,134.236512,35.543747
1,133.469375,35.382622
1,116.165952,25.154397
1,123.326411,41.658428
1,115.748417,36.088183
1,-82.373322,34.928483
1,131.430345,31.879488
1,139.73112,36.853674
1,-84.439485,33.416354
1,117.20599,31.876008
1,-80.522092,34.282984
1,128.885147,37.747558
1,133.732253,35.205058
1,119.954971,29.889268
1,-85.596752,35.410754
1,-82.360772,33.9058
1,138.532249,35.056329
1,136.960358,35.150883
1,138.744597,35.522928
1,126.295897,36.761051
1,115.886555,39.57477
1,120.716693,23.133289
1,119.277624,26.174025
1,130.798317,32.239143
1,120.654053,22.961735
1,-84.643128,33.48652
1,100.040688,25.640244
1,-84.082625,32.993755
1,85.381203,27.595567
1,88.611165,27.335309
1,134.690292,34.837925
1,135.406316,34.373844
1,79.132473,30.515128
1,-82.71003,34.920505
1,127.12562,36.463938
1,129.99372,33.339879
1,131.402183,34.091272
1,126.256311,33.240761
1,79.775032,29.875137
1,-82.955023,35.073304
1,-87.050269,35.61492
1,130.57988,31.619425
1,131.404725,33.307183
1,-82.814767,34.748695
1,140.089007,36.212052
1,140.314545,35.783992
1,-81.333214,33.605769
1,138.258236,34.875178
1,-85.340154,34.762116
1,-81.275471,34.223058
1,84.403008,28.365845
1,120.614153,23.603329
1,120.790712,24.542425
1,139.340133,36.419828
1,139.281953,35.903125
1,139.244828,35.427495
1,88.494452,27.080809
1,119.662217,27.708437
1,129.408157,28.259925
1,121.499443,25.156444
1,102.6901,25.100076
1,102.6521,24.790967
1,139.760796,35.584183
1,123.238144,41.265222
1,-85.145561,34.620089
1,121.135522,23.979407
1,-84.570105,33.83872
1,115.925028,39.955419
1,116.926699,40.560781
1,100.94082,22.848342
1,116.219429,39.781128
1,-82.352629,34.392225
1,127.544892,37.401453
1,103.662142,25.136865
1,135.587172,35.489655
1,120.785178,24.047992
1,113.623397,35.717786
1,-83.071349,33.845632
1,120.621889,23.856489
1,128.143182,37.459917
1,133.497447,33.90285
1,120.011,30.125
1,135.650693,35.032355
1,-85.049712,33.600378
1,-82.559464,35.698334
1,-84.014398,33.425131
1,-84.099189,34.438837
1,140.209945,36.028962
1,-84.168218,33.622703
1,117.375022,40.134742
1,-83.727263,34.078553
1,-83.762662,34.539365
1,129.187766,35.824929
1,-79.194583,36.03732
1,106.951071,33.724418
1,88.510818,27.52998
1,-84.387328,34.464053
1,-83.830774,34.924736
1,-84.316627,34.952571
1,-84.000847,34.676608
1,137.46786,35.456507
1,139.958584,40.029511
1,116.645175,39.998269
1,-83.119003,34.062492
1,128.307982,36.11906
